수집시각,장소명,혼잡도,인구최소,인구최대
2026-05-04 00:32,강남 MICE 관광특구,여유,12000,14000
2026-05-04 00:32,동대문 관광특구,보통,24000,26000
2026-05-04 00:32,명동 관광특구,보통,64000,66000
2026-05-04 00:32,이태원 관광특구,여유,7000,7500
2026-05-04 00:32,잠실 관광특구,여유,36000,38000
2026-05-04 00:32,종로·청계 관광특구,보통,28000,30000
2026-05-04 00:32,홍대 관광특구,여유,44000,46000
2026-05-04 00:32,경복궁,여유,1000,1500
2026-05-04 00:32,광화문·덕수궁,여유,34000,36000
2026-05-04 00:32,보신각,보통,10000,12000
2026-05-04 00:32,서울 암사동 유적,여유,300,400
2026-05-04 00:32,창덕궁·종묘,보통,9500,10000
2026-05-04 00:32,가산디지털단지역,보통,32000,34000
2026-05-04 00:32,강남역,보통,50000,52000
2026-05-04 00:32,건대입구역,여유,22000,24000
2026-05-04 00:32,고덕역,여유,1500,2000
2026-05-04 00:32,고속터미널역,여유,10000,12000
2026-05-04 00:32,교대역,여유,14000,16000
2026-05-04 00:32,구로디지털단지역,약간 붐빔,24000,26000
2026-05-04 00:32,구로역,여유,2500,3000
2026-05-04 00:32,군자역,여유,6000,6500
2026-05-04 00:32,대림역,여유,16000,18000
2026-05-04 00:32,동대문역,보통,6500,7000
2026-05-04 00:32,뚝섬역,여유,8500,9000
2026-05-04 00:32,미아사거리역,여유,8000,8500
2026-05-04 00:32,발산역,여유,7500,8000
2026-05-04 00:32,사당역,여유,10000,12000
2026-05-04 00:32,삼각지역,여유,1500,2000
2026-05-04 00:32,서울대입구역,여유,10000,12000
2026-05-04 00:32,서울식물원·마곡나루역,여유,7000,7500
2026-05-04 00:32,서울역,보통,18000,20000
2026-05-04 00:32,선릉역,약간 붐빔,44000,46000
2026-05-04 00:32,성신여대입구역,여유,5000,5500
2026-05-04 00:32,신도림역,보통,8000,8500
2026-05-04 00:32,신림역,여유,8000,8500
2026-05-04 00:32,신촌·이대역,여유,26000,28000
2026-05-04 00:32,양재역,보통,14000,16000
2026-05-04 00:32,역삼역,보통,30000,32000
2026-05-04 00:32,연신내역,여유,5500,6000
2026-05-04 00:32,오목교역·목동운동장,여유,56000,58000
2026-05-04 00:32,왕십리역,여유,16000,18000
2026-05-04 00:32,용산역,여유,12000,14000
2026-05-04 00:32,이태원역,여유,2000,2500
2026-05-04 00:32,장지역,보통,16000,18000
2026-05-04 00:32,장한평역,여유,10000,12000
2026-05-04 00:32,천호역,여유,6500,7000
2026-05-04 00:32,총신대입구(이수)역,여유,9000,9500
2026-05-04 00:32,충정로역,보통,7000,7500
2026-05-04 00:32,합정역,여유,8500,9000
2026-05-04 00:32,혜화역,여유,12000,14000
2026-05-04 00:32,홍대입구역(2호선),여유,10000,12000
2026-05-04 00:32,회기역,여유,10000,12000
2026-05-04 00:32,신정네거리역,여유,1000,1500
2026-05-04 00:32,잠실새내역,여유,7500,8000
2026-05-04 00:32,잠실역,여유,12000,14000
2026-05-04 00:32,시의회 앞,여유,8500,9000
2026-05-04 00:32,숭례문,여유,10000,12000
2026-05-04 00:32,가락시장,보통,8500,9000
2026-05-04 00:32,가로수길,여유,18000,20000
2026-05-04 00:32,광장(전통)시장,여유,3000,3500
2026-05-04 00:32,김포공항,보통,8500,9000
2026-05-04 00:32,노량진,여유,20000,22000
2026-05-04 00:32,덕수궁길·정동길,여유,4000,4500
2026-05-04 00:32,북촌한옥마을,여유,10000,12000
2026-05-04 00:32,서촌,여유,10000,12000
2026-05-04 00:32,성수카페거리,보통,24000,26000
2026-05-04 00:32,압구정로데오거리,여유,18000,20000
2026-05-04 00:32,여의도,여유,120000,125000
2026-05-04 00:32,연남동,여유,7000,7500
2026-05-04 00:32,영등포 타임스퀘어,여유,9500,10000
2026-05-04 00:32,용리단길,여유,4000,4500
2026-05-04 00:32,이태원 앤틱가구거리,여유,3500,4000
2026-05-04 00:32,인사동,보통,12000,14000
2026-05-04 00:32,창동 신경제 중심지,여유,26000,28000
2026-05-04 00:32,청담동 명품거리,여유,4500,5000
2026-05-04 00:32,청량리 제기동 일대 전통시장,여유,12000,14000
2026-05-04 00:32,해방촌·경리단길,여유,3500,4000
2026-05-04 00:32,DDP(동대문디자인플라자),여유,5000,5500
2026-05-04 00:32,북창동 먹자골목,보통,9500,10000
2026-05-04 00:32,남대문시장,보통,10000,12000
2026-05-04 00:32,익선동,여유,7000,7500
2026-05-04 00:32,잠실롯데타워·석촌호수,여유,28000,30000
2026-05-04 00:32,송리단길·호수단길,여유,5500,6000
2026-05-04 00:32,신촌 스타광장,여유,2000,2500
2026-05-04 00:32,강서한강공원,여유,100,200
2026-05-04 00:32,고척돔,여유,1000,1500
2026-05-04 00:32,광나루한강공원,보통,4500,5000
2026-05-04 00:32,광화문광장,보통,7000,7500
2026-05-04 00:32,국립중앙박물관·용산가족공원,여유,2000,2500
2026-05-04 00:32,난지한강공원,여유,1000,1500
2026-05-04 00:32,남산공원,여유,10000,12000
2026-05-04 00:32,노들섬,여유,300,400
2026-05-04 00:32,뚝섬한강공원,여유,3500,4000
2026-05-04 00:32,망원한강공원,여유,1500,2000
2026-05-04 00:32,반포한강공원,여유,3000,3500
2026-05-04 00:32,북서울꿈의숲,여유,5000,5500
2026-05-04 00:32,서리풀공원·몽마르뜨공원,약간 붐빔,5500,6000
2026-05-04 00:32,서울대공원,여유,3500,4000
2026-05-04 00:32,서울숲공원,여유,3500,4000
2026-05-04 00:32,아차산,여유,5000,5500
2026-05-04 00:32,양화한강공원,여유,800,900
2026-05-04 00:32,어린이대공원,여유,4500,5000
2026-05-04 00:32,여의도한강공원,여유,2500,3000
2026-05-04 00:32,월드컵공원,여유,7000,7500
2026-05-04 00:32,응봉산,여유,2500,3000
2026-05-04 00:32,이촌한강공원,여유,3000,3500
2026-05-04 00:32,잠실종합운동장,여유,2000,2500
2026-05-04 00:32,잠실한강공원,보통,2500,3000
2026-05-04 00:32,잠원한강공원,여유,1500,2000
2026-05-04 00:32,청계산,여유,1500,2000
2026-05-04 00:32,보라매공원,약간 붐빔,4000,4500
2026-05-04 00:32,서대문독립공원,여유,1000,1500
2026-05-04 00:32,안양천,여유,1000,1500
2026-05-04 00:32,여의서로,여유,900,1000
2026-05-04 00:32,올림픽공원,여유,7500,8000
2026-05-04 00:32,홍제폭포,여유,400,500
2026-05-04 00:32,송현녹지광장,여유,4000,4500
2026-05-04 02:14,강남 MICE 관광특구,보통,14000,16000
2026-05-04 02:14,동대문 관광특구,보통,28000,30000
2026-05-04 02:14,명동 관광특구,보통,82000,84000
2026-05-04 02:14,이태원 관광특구,여유,8000,8500
2026-05-04 02:14,잠실 관광특구,여유,56000,58000
2026-05-04 02:14,종로·청계 관광특구,보통,36000,38000
2026-05-04 02:14,홍대 관광특구,여유,56000,58000
2026-05-04 02:14,경복궁,여유,2000,2500
2026-05-04 02:14,광화문·덕수궁,보통,38000,40000
2026-05-04 02:14,보신각,보통,14000,16000
2026-05-04 02:14,서울 암사동 유적,여유,300,400
2026-05-04 02:14,창덕궁·종묘,보통,10000,12000
2026-05-04 02:14,가산디지털단지역,보통,26000,28000
2026-05-04 02:14,강남역,보통,66000,68000
2026-05-04 02:14,건대입구역,여유,24000,26000
2026-05-04 02:14,고덕역,여유,2500,3000
2026-05-04 02:14,고속터미널역,보통,16000,18000
2026-05-04 02:14,교대역,보통,18000,20000
2026-05-04 02:14,구로디지털단지역,보통,24000,26000
2026-05-04 02:14,구로역,여유,2000,2500
2026-05-04 02:14,군자역,여유,6500,7000
2026-05-04 02:14,대림역,여유,14000,16000
2026-05-04 02:14,동대문역,보통,9000,9500
2026-05-04 02:14,뚝섬역,여유,10000,12000
2026-05-04 02:14,미아사거리역,여유,9500,10000
2026-05-04 02:14,발산역,여유,8000,8500
2026-05-04 02:14,사당역,여유,10000,12000
2026-05-04 02:14,삼각지역,여유,1500,2000
2026-05-04 02:14,서울대입구역,여유,10000,12000
2026-05-04 02:14,서울식물원·마곡나루역,여유,7000,7500
